Company Name,Exchange,Ticker,Industry,Country,Broad Group,Sub Group,Sector,Sector_code
Ablaze Technologies Inc ,OTCPK,ABZT,Advertising,United States,United States,United States,Communication Services,50
"Adaptive Medias, Inc. ",OTCPK,ADTM,Advertising,United States,United States,United States,Communication Services,50
"Adtegrity.com International, Inc. ",OTCPK,ADTY,Advertising,United States,United States,United States,Communication Services,50
Advantage Solutions Inc. ,NasdaqGS,ADV,Advertising,United States,United States,United States,Communication Services,50
AMBG Inc. ,OTCPK,AMBG,Advertising,United States,United States,United States,Communication Services,50
"Artec Global Media, Inc. ",OTCPK,ACTL,Advertising,United States,United States,United States,Communication Services,50
Bang Holdings Corp. ,OTCPK,BXNG,Advertising,United States,United States,United States,Communication Services,50
"Beta Music Group, Inc. ",OTCPK,BEMG,Advertising,United States,United States,United States,Communication Services,50
Boston Omaha Corporation ,NasdaqCM,BOMN,Advertising,United States,United States,United States,Communication Services,50
"Bright Mountain Media, Inc. ",OTCPK,BMTM,Advertising,United States,United States,United States,Communication Services,50
"Cardlytics, Inc. ",NasdaqGM,CDLX,Advertising,United States,United States,United States,Communication Services,50
"Clear Channel Outdoor Holdings, Inc. ",NYSE,CCO,Advertising,United States,United States,United States,Communication Services,50
"CMG Holdings Group, Inc. ",OTCPK,CMGO,Advertising,United States,United States,United States,Communication Services,50
"Cognitiv, Inc. ",OTCPK,COGV,Advertising,United States,United States,United States,Communication Services,50
"comScore, Inc. ",NasdaqGS,SCOR,Advertising,United States,United States,United States,Communication Services,50
Connected Media Technologies Inc. ,OTCPK,CNCM,Advertising,United States,United States,United States,Communication Services,50
"Corfacts, Inc. ",OTCPK,CFCC,Advertising,United States,United States,United States,Communication Services,50
"Creative Realities, Inc. ",NasdaqCM,CREX,Advertising,United States,United States,United States,Communication Services,50
Crown Equity Holdings Inc. ,OTCPK,CRWE,Advertising,United States,United States,United States,Communication Services,50
"Dewmar International BMC, Inc. ",OTCPK,DEWM,Advertising,United States,United States,United States,Communication Services,50
"Digital Brand Media & Marketing Group, Inc. ",OTCPK,DBMM,Advertising,United States,United States,United States,Communication Services,50
"Digital Media Solutions, Inc. ",NYSE,DMS,Advertising,United States,United States,United States,Communication Services,50
"Elvictor Group, Inc. ",OTCPK,ELVG,Advertising,United States,United States,United States,Communication Services,50
"Emerald Holding, Inc. ",NYSE,EEX,Advertising,United States,United States,United States,Communication Services,50
engage:BDR Limited ,ASX,EN1,Advertising,United States,United States,United States,Communication Services,50
"Fluent, Inc. ",NasdaqGM,FLNT,Advertising,United States,United States,United States,Communication Services,50
Ghost Technology Inc ,OTCPK,GHST,Advertising,United States,United States,United States,Communication Services,50
"GIFA, Inc. ",OTCPK,GIFX,Advertising,United States,United States,United States,Communication Services,50
"Harte Hanks, Inc. ",OTCPK,HRTH,Advertising,United States,United States,United States,Communication Services,50
"Holistic Asset Finance Group Co., Ltd. ",OTCPK,HAFG,Advertising,United States,United States,United States,Communication Services,50
"Insignia Systems, Inc. ",NasdaqCM,ISIG,Advertising,United States,United States,United States,Communication Services,50
"International Consolidated Companies, Inc. ",OTCPK,INCC,Advertising,United States,United States,United States,Communication Services,50
InventaBioTech Inc. ,OTCPK,INVB,Advertising,United States,United States,United States,Communication Services,50
"Madison Ave Media, Inc. ",OTCPK,KHZM,Advertising,United States,United States,United States,Communication Services,50
"Marchex, Inc. ",NasdaqGS,MCHX,Advertising,United States,United States,United States,Communication Services,50
"Mastermind, Inc. ",OTCPK,MMND,Advertising,United States,United States,United States,Communication Services,50
MDC Partners Inc. ,NasdaqGS,MDCA,Advertising,United States,United States,United States,Communication Services,50
"Mobiquity Technologies, Inc. ",OTCPK,MOBQ,Advertising,United States,United States,United States,Communication Services,50
"National CineMedia, Inc. ",NasdaqGS,NCMI,Advertising,United States,United States,United States,Communication Services,50
"NextMart, Inc. ",OTCPK,NXMR,Advertising,United States,United States,United States,Communication Services,50
Omnicom Group Inc. ,NYSE,OMC,Advertising,United States,United States,United States,Communication Services,50
"Perk International, Inc. ",OTCPK,PRKI,Advertising,United States,United States,United States,Communication Services,50
Placer Creek Mining Co. ,OTCPK,PRCK,Advertising,United States,United States,United States,Communication Services,50
"ProConcept Marketing Group, Inc. ",OTCPK,PRMK,Advertising,United States,United States,United States,Communication Services,50
"Sibannac, Inc. ",OTCPK,SNNC,Advertising,United States,United States,United States,Communication Services,50
"Simon Worldwide, Inc. ",OTCPK,SWWI,Advertising,United States,United States,United States,Communication Services,50
"SPAR Group, Inc. ",NasdaqCM,SGRP,Advertising,United States,United States,United States,Communication Services,50
"SRAX, Inc. ",NasdaqCM,SRAX,Advertising,United States,United States,United States,Communication Services,50
Strategic Management and Opportunity Corporation ,OTCPK,SMPP,Advertising,United States,United States,United States,Communication Services,50
"TechTarget, Inc. ",NasdaqGM,TTGT,Advertising,United States,United States,United States,Communication Services,50
"The Interpublic Group of Companies, Inc. ",NYSE,IPG,Advertising,United States,United States,United States,Communication Services,50
"Thryv Holdings, Inc. ",NasdaqCM,THRY,Advertising,United States,United States,United States,Communication Services,50
"Tianrong Internet Products and Services, Inc. ",OTCPK,TIPS,Advertising,United States,United States,United States,Communication Services,50
"Tradeshow Marketing Company, Ltd. ",OTCPK,TSHO,Advertising,United States,United States,United States,Communication Services,50
"Treasure & Shipwreck Recovery, Inc. ",OTCPK,BLIS,Advertising,United States,United States,United States,Communication Services,50
"UNEEQO, Inc. ",OTCPK,UNEQ,Advertising,United States,United States,United States,Communication Services,50
United Communications Partners Inc. ,OTCPK,UCPA,Advertising,United States,United States,United States,Communication Services,50
USA Zhimingde International Group Corporation ,OTCPK,ZMDC,Advertising,United States,United States,United States,Communication Services,50
"W Technologies, Inc. ",OTCPK,WTCG,Advertising,United States,United States,United States,Communication Services,50
"Wizard Entertainment, Inc. ",OTCPK,WIZD,Advertising,United States,United States,United States,Communication Services,50
Zulu-Tek Inc ,OTCPK,ZULU,Advertising,United States,United States,United States,Communication Services,50
AAR Corp. ,NYSE,AIR,Aerospace/Defense,United States,United States,United States,Industrials,20
"Aerojet Rocketdyne Holdings, Inc. ",NYSE,AJRD,Aerospace/Defense,United States,United States,United States,Industrials,20
"AeroVironment, Inc. ",NasdaqGS,AVAV,Aerospace/Defense,United States,United States,United States,Industrials,20
Air Industries Group ,AMEX,AIRI,Aerospace/Defense,United States,United States,United States,Industrials,20
"American Defense Systems, Inc. ",OTCPK,ADFS,Aerospace/Defense,United States,United States,United States,Industrials,20
"Applied Energetics, Inc. ",OTCPK,AERG,Aerospace/Defense,United States,United States,United States,Industrials,20
Astronics Corporation ,NasdaqGS,ATRO,Aerospace/Defense,United States,United States,United States,Industrials,20
Astrotech Corporation ,NasdaqCM,ASTC,Aerospace/Defense,United States,United States,United States,Industrials,20
"Axon Enterprise, Inc. ",NasdaqGS,AAXN,Aerospace/Defense,United States,United States,United States,Industrials,20
Ballistic Recovery Systems Inc. ,OTCPK,BRSI,Aerospace/Defense,United States,United States,United States,Industrials,20
"Bantec, Inc. ",OTCPK,BANT,Aerospace/Defense,United States,United States,United States,Industrials,20
Butler National Corporation ,OTCPK,BUKS,Aerospace/Defense,United States,United States,United States,Industrials,20
"BWX Technologies, Inc. ",NYSE,BWXT,Aerospace/Defense,United States,United States,United States,Industrials,20
Byrna Technologies Inc. ,OTCPK,BYRN,Aerospace/Defense,United States,United States,United States,Industrials,20
"CPI Aerostructures, Inc. ",AMEX,CVU,Aerospace/Defense,United States,United States,United States,Industrials,20
Cubic Corporation ,NYSE,CUB,Aerospace/Defense,United States,United States,United States,Industrials,20
Curtiss-Wright Corporation ,NYSE,CW,Aerospace/Defense,United States,United States,United States,Industrials,20
"Drone Services USA, Inc. ",OTCPK,DSUS,Aerospace/Defense,United States,United States,United States,Industrials,20
Ducommun Incorporated ,NYSE,DCO,Aerospace/Defense,United States,United States,United States,Industrials,20
Environmental Tectonics Corporation ,OTCPK,ETCC,Aerospace/Defense,United States,United States,United States,Industrials,20
General Dynamics Corporation ,NYSE,GD,Aerospace/Defense,United States,United States,United States,Industrials,20
Giga-tronics Incorporated ,OTCPK,GIGA,Aerospace/Defense,United States,United States,United States,Industrials,20
"Global Digital Solutions, Inc. ",OTCPK,GDSI,Aerospace/Defense,United States,United States,United States,Industrials,20
Golden Star Enterprises Ltd. ,OTCPK,GSPT,Aerospace/Defense,United States,United States,United States,Industrials,20
HEICO Corporation ,NYSE,HEI,Aerospace/Defense,United States,United States,United States,Industrials,20
Hexcel Corporation ,NYSE,HXL,Aerospace/Defense,United States,United States,United States,Industrials,20
Howmet Aerospace Inc. ,NYSE,HWM,Aerospace/Defense,United States,United States,United States,Industrials,20
"Huntington Ingalls Industries, Inc. ",NYSE,HII,Aerospace/Defense,United States,United States,United States,Industrials,20
"Innovative Solutions and Support, Inc. ",NasdaqGS,ISSC,Aerospace/Defense,United States,United States,United States,Industrials,20
InRob Tech Ltd. ,OTCPK,IRBL,Aerospace/Defense,United States,United States,United States,Industrials,20
"Kaiser Group Holdings, Inc. ",OTCPK,KGHI,Aerospace/Defense,United States,United States,United States,Industrials,20
Kaman Corporation ,NYSE,KAMN,Aerospace/Defense,United States,United States,United States,Industrials,20
"Kratos Defense & Security Solutions, Inc. ",NasdaqGS,KTOS,Aerospace/Defense,United States,United States,United States,Industrials,20
"L3Harris Technologies, Inc. ",NYSE,LHX,Aerospace/Defense,United States,United States,United States,Industrials,20
Lockheed Martin Corporation ,NYSE,LMT,Aerospace/Defense,United States,United States,United States,Industrials,20
Maxar Technologies Inc. ,NYSE,MAXR,Aerospace/Defense,United States,United States,United States,Industrials,20
"Mercury Systems, Inc. ",NasdaqGS,MRCY,Aerospace/Defense,United States,United States,United States,Industrials,20
Mikros Systems Corporation ,OTCPK,MKRS,Aerospace/Defense,United States,United States,United States,Industrials,20
Moog Inc. ,NYSE,MOG.A,Aerospace/Defense,United States,United States,United States,Industrials,20
"Mundus Group, Inc. ",OTCPK,MNDP,Aerospace/Defense,United States,United States,United States,Industrials,20
"National Presto Industries, Inc. ",NYSE,NPK,Aerospace/Defense,United States,United States,United States,Industrials,20
Northrop Grumman Corporation ,NYSE,NOC,Aerospace/Defense,United States,United States,United States,Industrials,20
"Northstar Electronics, Inc. ",OTCPK,NEIK,Aerospace/Defense,United States,United States,United States,Industrials,20
"Optex Systems Holdings, Inc ",OTCPK,OPXS,Aerospace/Defense,United States,United States,United States,Industrials,20
PAE Incorporated ,NasdaqCM,PAE,Aerospace/Defense,United States,United States,United States,Industrials,20
Park Aerospace Corp. ,NYSE,PKE,Aerospace/Defense,United States,United States,United States,Industrials,20
Parsons Corporation ,NYSE,PSN,Aerospace/Defense,United States,United States,United States,Industrials,20
"PASSUR Aerospace, Inc. ",OTCPK,PSSR,Aerospace/Defense,United States,United States,United States,Industrials,20
"PM&E, Inc. ",OTCPK,PMEA,Aerospace/Defense,United States,United States,United States,Industrials,20
POSTD Merchant Banque ,OTCPK,PMBY,Aerospace/Defense,United States,United States,United States,Industrials,20
Raytheon Technologies Corporation ,NYSE,RTX,Aerospace/Defense,United States,United States,United States,Industrials,20
"Safer Shot, Inc. ",OTCPK,SAFS,Aerospace/Defense,United States,United States,United States,Industrials,20
"SIFCO Industries, Inc. ",AMEX,SIF,Aerospace/Defense,United States,United States,United States,Industrials,20
"Sigma Labs, Inc. ",NasdaqCM,SGLB,Aerospace/Defense,United States,United States,United States,Industrials,20
"Spirit AeroSystems Holdings, Inc. ",NYSE,SPR,Aerospace/Defense,United States,United States,United States,Industrials,20
"STG Group, Inc. ",OTCPK,STGG.Q,Aerospace/Defense,United States,United States,United States,Industrials,20
"Stinger Systems, Inc. ",OTCPK,STYS,Aerospace/Defense,United States,United States,United States,Industrials,20
Tel-Instrument Electronics Corp. ,OTCPK,TIKK,Aerospace/Defense,United States,United States,United States,Industrials,20
Teledyne Technologies Incorporated ,NYSE,TDY,Aerospace/Defense,United States,United States,United States,Industrials,20
Textron Inc. ,NYSE,TXT,Aerospace/Defense,United States,United States,United States,Industrials,20
The Boeing Company ,NYSE,BA,Aerospace/Defense,United States,United States,United States,Industrials,20
TransDigm Group Incorporated ,NYSE,TDG,Aerospace/Defense,United States,United States,United States,Industrials,20
"Triumph Group, Inc. ",NYSE,TGI,Aerospace/Defense,United States,United States,United States,Industrials,20
"U.S. Aerospace, Inc. ",OTCPK,USAE,Aerospace/Defense,United States,United States,United States,Industrials,20
"Umbra Applied Technologies Group, Inc. ",OTCPK,UATG,Aerospace/Defense,United States,United States,United States,Industrials,20
Utilicraft Aerospace Industries Inc. ,OTCPK,UITA,Aerospace/Defense,United States,United States,United States,Industrials,20
"Valmie Resources, Inc. ",OTCPK,VMRI,Aerospace/Defense,United States,United States,United States,Industrials,20
"Vectrus, Inc. ",NYSE,VEC,Aerospace/Defense,United States,United States,United States,Industrials,20
"Virgin Galactic Holdings, Inc. ",NYSE,SPCE,Aerospace/Defense,United States,United States,United States,Industrials,20
"VirTra, Inc. ",NasdaqCM,VTSI,Aerospace/Defense,United States,United States,United States,Industrials,20
"Xenonics Holdings, Inc. ",OTCPK,XNNH.Q,Aerospace/Defense,United States,United States,United States,Industrials,20
"Xeriant, Inc. ",OTCPK,XERI,Aerospace/Defense,United States,United States,United States,Industrials,20
"Alaska Air Group, Inc. ",NYSE,ALK,Air Transport,United States,United States,United States,Industrials,20
Allegiant Travel Company ,NasdaqGS,ALGT,Air Transport,United States,United States,United States,Industrials,20
American Airlines Group Inc. ,NasdaqGS,AAL,Air Transport,United States,United States,United States,Industrials,20
"Delta Air Lines, Inc. ",NYSE,DAL,Air Transport,United States,United States,United States,Industrials,20
Global Crossing Airlines Group Inc. ,TSXV,JET,Air Transport,United States,United States,United States,Industrials,20
"Great Lakes Aviation, Ltd. ",OTCPK,GLUX,Air Transport,United States,United States,United States,Industrials,20
"Hawaiian Holdings, Inc. ",NasdaqGS,HA,Air Transport,United States,United States,United States,Industrials,20
JetBlue Airways Corporation ,NasdaqGS,JBLU,Air Transport,United States,United States,United States,Industrials,20
Macquarie Infrastructure Corporation ,NYSE,MIC,Air Transport,United States,United States,United States,Industrials,20
"Mesa Air Group, Inc. ",NasdaqGS,MESA,Air Transport,United States,United States,United States,Industrials,20
"Saker Aviation Services, Inc. ",OTCPK,SKAS,Air Transport,United States,United States,United States,Industrials,20
"SkyWest, Inc. ",NasdaqGS,SKYW,Air Transport,United States,United States,United States,Industrials,20
Southwest Airlines Co. ,NYSE,LUV,Air Transport,United States,United States,United States,Industrials,20
"Spirit Airlines, Inc. ",NYSE,SAVE,Air Transport,United States,United States,United States,Industrials,20
"Spotlight Capital Holdings, Inc. ",OTCPK,SLCH,Air Transport,United States,United States,United States,Industrials,20
"Star Jets International, Inc. ",OTCPK,JETR,Air Transport,United States,United States,United States,Industrials,20
"United Airlines Holdings, Inc. ",NasdaqGS,UAL,Air Transport,United States,United States,United States,Industrials,20
"American Rebel Holdings, Inc. ",OTCPK,AREB,Apparel,United States,United States,United States,Consumer Discretionary,25
Apex Global Brands Inc. ,OTCPK,APEX,Apparel,United States,United States,United States,Consumer Discretionary,25
"Banneker, Inc. ",OTCPK,BANI,Apparel,United States,United States,United States,Consumer Discretionary,25
"Bergio International, Inc. ",OTCPK,BRGO,Apparel,United States,United States,United States,Consumer Discretionary,25
"Carter's, Inc. ",NYSE,CRI,Apparel,United States,United States,United States,Consumer Discretionary,25
"Centaurus Diamond Technologies, Inc. ",OTCPK,CTDT,Apparel,United States,United States,United States,Consumer Discretionary,25
"Charles & Colvard, Ltd. ",NasdaqCM,CTHR,Apparel,United States,United States,United States,Consumer Discretionary,25
Columbia Sportswear Company ,NasdaqGS,COLM,Apparel,United States,United States,United States,Consumer Discretionary,25
"Crown Crafts, Inc. ",NasdaqCM,CRWS,Apparel,United States,United States,United States,Consumer Discretionary,25
"Culp, Inc. ",NYSE,CULP,Apparel,United States,United States,United States,Consumer Discretionary,25
"Delta Apparel, Inc. ",AMEX,DLA,Apparel,United States,United States,United States,Consumer Discretionary,25
Evolution Blockchain Group Inc. ,OTCPK,EVBC,Apparel,United States,United States,United States,Consumer Discretionary,25
"Forward Industries, Inc. ",NasdaqCM,FORD,Apparel,United States,United States,United States,Consumer Discretionary,25
"Fossil Group, Inc. ",NasdaqGS,FOSL,Apparel,United States,United States,United States,Consumer Discretionary,25
"G-III Apparel Group, Ltd. ",NasdaqGS,GIII,Apparel,United States,United States,United States,Consumer Discretionary,25
"Global Fiber Technologies, Inc. ",OTCPK,GFTX,Apparel,United States,United States,United States,Consumer Discretionary,25
Hanesbrands Inc. ,NYSE,HBI,Apparel,United States,United States,United States,Consumer Discretionary,25
"Iconix Brand Group, Inc. ",NasdaqGS,ICON,Apparel,United States,United States,United States,Consumer Discretionary,25
International Luxury Products Inc. ,OTCPK,ILXP,Apparel,United States,United States,United States,Consumer Discretionary,25
Jerash Holdings ,NasdaqCM,JRSH,Apparel,United States,United States,United States,Consumer Discretionary,25
JG Boswell Company ,OTCPK,BWEL,Apparel,United States,United States,United States,Consumer Discretionary,25
"JLM Couture, Inc. ",OTCPK,JLMC,Apparel,United States,United States,United States,Consumer Discretionary,25
"Kontoor Brands, Inc. ",NYSE,KTB,Apparel,United States,United States,United States,Consumer Discretionary,25
"Lakeland Industries, Inc. ",NasdaqGM,LAKE,Apparel,United States,United States,United States,Consumer Discretionary,25
Levi Strauss & Co. ,NYSE,LEVI,Apparel,United States,United States,United States,Consumer Discretionary,25
"LGBTQ Loyalty Holdings, Inc. ",OTCPK,LFAP,Apparel,United States,United States,United States,Consumer Discretionary,25
"Lyric Jeans, Inc. ",OTCPK,LYJN,Apparel,United States,United States,United States,Consumer Discretionary,25
"Movado Group, Inc. ",NYSE,MOV,Apparel,United States,United States,United States,Consumer Discretionary,25
Nitches Inc. ,OTCPK,NICH,Apparel,United States,United States,United States,Consumer Discretionary,25
"Omni Ventures, Inc. ",OTCPK,OMVE,Apparel,United States,United States,United States,Consumer Discretionary,25
"Oxford Industries, Inc. ",NYSE,OXM,Apparel,United States,United States,United States,Consumer Discretionary,25
PVH Corp. ,NYSE,PVH,Apparel,United States,United States,United States,Consumer Discretionary,25
Ralph Lauren Corporation ,NYSE,RL,Apparel,United States,United States,United States,Consumer Discretionary,25
"Samsara Luggage, Inc. ",OTCPK,SAML,Apparel,United States,United States,United States,Consumer Discretionary,25
"Sequential Brands Group, Inc. ",NasdaqCM,SQBG,Apparel,United States,United States,United States,Consumer Discretionary,25
"Signature Eyewear, Inc. ",OTCPK,SEYE,Apparel,United States,United States,United States,Consumer Discretionary,25
Silo Pharma Inc. ,OTCPK,SILO,Apparel,United States,United States,United States,Consumer Discretionary,25
"Superior Group of Companies, Inc. ",NasdaqGM,SGC,Apparel,United States,United States,United States,Consumer Discretionary,25
"Talon International, Inc. ",OTCPK,TALN,Apparel,United States,United States,United States,Consumer Discretionary,25
"Tapestry, Inc. ",NYSE,TPR,Apparel,United States,United States,United States,Consumer Discretionary,25
"ToughBuilt Industries, Inc. ",NasdaqCM,TBLT,Apparel,United States,United States,United States,Consumer Discretionary,25
Triumph Apparel Corporation ,OTCPK,TRUA,Apparel,United States,United States,United States,Consumer Discretionary,25
"Under Armour, Inc. ",NYSE,UAA,Apparel,United States,United States,United States,Consumer Discretionary,25
"Unifi, Inc. ",NYSE,UFI,Apparel,United States,United States,United States,Consumer Discretionary,25
"Uniroyal Global Engineered Products, Inc. ",OTCPK,UNIR,Apparel,United States,United States,United States,Consumer Discretionary,25
Universal Apparel & Textile Company ,OTCPK,DKGR,Apparel,United States,United States,United States,Consumer Discretionary,25
V.F. Corporation ,NYSE,VFC,Apparel,United States,United States,United States,Consumer Discretionary,25
"Vera Bradley, Inc. ",NasdaqGS,VRA,Apparel,United States,United States,United States,Consumer Discretionary,25
Vince Holding Corp. ,NYSE,VNCE,Apparel,United States,United States,United States,Consumer Discretionary,25
"Vitamin Blue, Inc. ",OTCPK,VTMB,Apparel,United States,United States,United States,Consumer Discretionary,25
Zalemark Holding Company Inc. ,OTCPK,ZMRK,Apparel,United States,United States,United States,Consumer Discretionary,25
APT Moto Vox Group Inc ,OTCPK,MTVX,Auto & Truck,United States,United States,United States,Industrials,20
"Arcimoto, Inc. ",NasdaqCM,FUV,Auto & Truck,United States,United States,United States,Industrials,20
"Ayro, Inc. ",NasdaqCM,AYRO,Auto & Truck,United States,United States,United States,Industrials,20
Canoo Inc. ,NasdaqGS,GOEV,Auto & Truck,United States,United States,United States,Industrials,20
"Curtiss Motorcycles Company, Inc. ",OTCPK,CMOT,Auto & Truck,United States,United States,United States,Industrials,20
CVF Technologies Corporation ,OTCPK,CNVT,Auto & Truck,United States,United States,United States,Industrials,20
eFleets Corporation ,OTCPK,EFLT,Auto & Truck,United States,United States,United States,Industrials,20
"Electric Car Company, Inc. ",OTCPK,ELCR,Auto & Truck,United States,United States,United States,Industrials,20
"Elio Motors, Inc. ",OTCPK,ELIO,Auto & Truck,United States,United States,United States,Industrials,20
Fisker Inc. ,NYSE,FSR,Auto & Truck,United States,United States,United States,Industrials,20
Ford Motor Company ,NYSE,F,Auto & Truck,United States,United States,United States,Industrials,20
General Motors Company ,NYSE,GM,Auto & Truck,United States,United States,United States,Industrials,20
"Harley-Davidson, Inc. ",NYSE,HOG,Auto & Truck,United States,United States,United States,Industrials,20
"LGA Holdings, Inc. ",OTCPK,LGAH,Auto & Truck,United States,United States,United States,Industrials,20
Lordstown Motors Corp. ,NasdaqGS,RIDE,Auto & Truck,United States,United States,United States,Industrials,20
"Rodedawg International Industries, Inc. ",OTCPK,RWGI,Auto & Truck,United States,United States,United States,Industrials,20
"Tesla, Inc. ",NasdaqGS,TSLA,Auto & Truck,United States,United States,United States,Industrials,20
"Thor Industries, Inc. ",NYSE,THO,Auto & Truck,United States,United States,United States,Industrials,20
"Winnebago Industries, Inc. ",NYSE,WGO,Auto & Truck,United States,United States,United States,Industrials,20
"ADOMANI, Inc. ",OTCPK,ADOM,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Advanced Engine Technologies, Inc. ",OTCPK,AENG,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Alternative Fuel Technologies, Inc. ",OTCPK,AFTC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"American Axle & Manufacturing Holdings, Inc. ",NYSE,AXL,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Avatar Ventures Corp. ,OTCPK,ATAR,Auto Parts,United States,United States,United States,Consumer Discretionary,25
BorgWarner Inc. ,NYSE,BWA,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"CDTi Advanced Materials, Inc. ",OTCPK,CDTI,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Cool Technologies, Inc. ",OTCPK,WARM,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Cooper-Standard Holdings Inc. ,NYSE,CPS,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Dana Incorporated ,NYSE,DAN,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Dorman Products, Inc. ",NasdaqGS,DORM,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Energy 1 Corporation ,OTCPK,EGOC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Enova Systems, Inc. ",OTCPK,ENVS,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Environmental Solutions Worldwide, Inc. ",OTCPK,ESWW,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Federal Screw Works ,OTCPK,FSCR,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Fox Factory Holding Corp. ,NasdaqGS,FOXF,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Fuel Doctor Holdings, Inc. ",OTCPK,FDOC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Gentex Corporation ,NasdaqGS,GNTX,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Gentherm Incorporated ,NasdaqGS,THRM,Auto Parts,United States,United States,United States,Consumer Discretionary,25
GreenChek Technology Inc. ,OTCPK,GCHK,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Horizon Global Corporation ,NYSE,HZN,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Infinite Networks Corporation ,OTCPK,INNX,Auto Parts,United States,United States,United States,Consumer Discretionary,25
LCI Industries ,NYSE,LCII,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Lear Corporation ,NYSE,LEA,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Luminar Technologies, Inc. ",NasdaqGS,LAZR,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Marketing Worldwide Corp ,OTCPK,MWWC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Megatech Corp. ,OTCPK,MGTC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Modine Manufacturing Company ,NYSE,MOD,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Motorcar Parts of America, Inc. ",NasdaqGS,MPAA,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Nexteer Automotive Group Limited ,SEHK,1316,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Odyne Corporation ,OTCPK,ODYC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Omnitek Engineering Corp. ,OTCPK,OMTK,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Patrick Industries, Inc. ",NasdaqGS,PATK,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Proliance International, Inc. ",OTCPK,PLNT.Q,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Puradyn Filter Technologies, Inc. ",OTCPK,PFTI,Auto Parts,United States,United States,United States,Consumer Discretionary,25
QuantumScape Corporation ,NYSE,QS,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Shiloh Industries, Inc. ",OTCPK,SHLO.Q,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"SPO Networks, Inc. ",OTCPK,SPOI,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Standard Motor Products, Inc. ",NYSE,SMP,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Stoneridge, Inc. ",NYSE,SRI,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Strattec Security Corporation ,NasdaqGM,STRT,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Superior Industries International, Inc. ",NYSE,SUP,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Sypris Solutions, Inc. ",NasdaqGM,SYPR,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Tenneco Inc. ,NYSE,TEN,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Tongxin International, Ltd. ",OTCPK,TXIC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Turbodyne Technologies, Inc. ",OTCPK,TRBD,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"Unique Fabricating, Inc. ",AMEX,UFAB,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Universal Mfg. Co. ,OTCPK,UFMG,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Visteon Corporation ,NasdaqGS,VC,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Workhorse Group Inc. ,NasdaqCM,WKHS,Auto Parts,United States,United States,United States,Consumer Discretionary,25
XL Fleet Corp. ,NYSE,XL,Auto Parts,United States,United States,United States,Consumer Discretionary,25
"XPEL, Inc. ",NasdaqCM,XPEL,Auto Parts,United States,United States,United States,Consumer Discretionary,25
Bank of America Corporation ,NYSE,BAC,Bank (Money Center),United States,United States,United States,Financials,40
BankGuam Holding Company ,OTCPK,BKGM,Bank (Money Center),United States,United States,United States,Financials,40
"CIB Marine Bancshares, Inc. ",OTCPK,CIBH,Bank (Money Center),United States,United States,United States,Financials,40
Citigroup Inc. ,NYSE,C,Bank (Money Center),United States,United States,United States,Financials,40
